Json data,react code
"// data.json
{
  ""name"": ""John Doe"",
  ""age"": 25,
  ""city"": ""New York""
}","// MyComponent.js
import React from 'react';
import data from './data.json';

const MyComponent = () => {
  return (
    <div>
      <p>Name: {data.name}</p>
      <p>Age: {data.age}</p>
      <p>City: {data.city}</p>
    </div>
  );
};

export default MyComponent;"
"// items.json
{
  ""items"": [
    { ""id"": 1, ""name"": ""Item 1"" },
    { ""id"": 2, ""name"": ""Item 2"" },
    { ""id"": 3, ""name"": ""Item 3"" }
  ]
}","// ItemList.js
import React from 'react';
import itemsData from './items.json';

const ItemList = () => {
  return (
    <ul>
      {itemsData.items.map(item => (
        <li key={item.id}>{item.name}</li>
      ))}
    </ul>
  );
};

export default ItemList;"
"// status.json
{
  ""online"": true
}","// StatusComponent.js
import React from 'react';
import statusData from './status.json';

const StatusComponent = () => {
  return (
    <div>
      <p>Status: {statusData.online ? 'Online' : 'Offline'}</p>
    </div>
  );
};

export default StatusComponent;"
"{
  ""title"": ""My Website"",
  ""subtitle"": ""Welcome to my website!"",
  ""logo"": ""path/to/logo.png""
}","import React from 'react';
import data from './header.json';

const HeaderComponent = () => {
  const { title, subtitle, logo } = data;

  return (
    <header>
      <img src={logo} alt=""Logo"" />
      <h1>{title}</h1>
      <p>{subtitle}</p>
    </header>
  );
};

export default HeaderComponent;"
"{
  ""csvData"": [
    ""Name, Age, City"",
    ""John Doe, 25, New York"",
    ""Jane Smith, 30, San Francisco""
  ]
}","import React from 'react';
import csvData from './csvData.json';

const CSVComponent = () => {
  return (
    <div>
      <h2>CSV Data</h2>
      <ul>
        {csvData.csvData.map((line, index) => (
          <li key={index}>{line}</li>
        ))}
      </ul>
    </div>
  );
};

export default CSVComponent;"
"{
  ""formData"": {
    ""name"": """",
    ""email"": """",
    ""message"": """"
  }
}
","import React, { useState } from 'react';
import data from './formData.json';

const FormComponent = () => {
  const [formData, setFormData] = useState(data.formData);

  const handleChange = (e) => {
    setFormData({ ...formData, [e.target.name]: e.target.value });
  };

  const handleSubmit = (e) => {
    e.preventDefault();
    // Handle form submission logic
  };

  return (
    <form onSubmit={handleSubmit}>
      <label>Name:</label>
      <input type=""text"" name=""name"" value={formData.name} onChange={handleChange} />

      <label>Email:</label>
      <input type=""email"" name=""email"" value={formData.email} onChange={handleChange} />

      <label>Message:</label>
      <textarea name=""message"" value={formData.message} onChange={handleChange}></textarea>

      <button type=""submit"">Submit</button>
    </form>
  );
};

export default FormComponent;"
"{
  ""parent"": {
    ""title"": ""Parent Component"",
    ""child"": {
      ""title"": ""Child Component"",
      ""content"": ""This is the content of the child component.""
    }
  }
}","import React from 'react';
import nestedData from './nestedComponents.json';

const NestedComponents = () => {
  const { title, child } = nestedData.parent;

  return (
    <div>
      <h2>{title}</h2>
      <div>
        <h3>{child.title}</h3>
        <p>{child.content}</p>
      </div>
    </div>
  );
};

export default NestedComponents;"
"{
  ""isLoggedIn"": true,
  ""username"": ""user123""
}","import React from 'react';
import userData from './conditionalRendering.json';

const ConditionalRenderingComponent = () => {
  return (
    <div>
      {userData.isLoggedIn ? (
        <p>Welcome, {userData.username}!</p>
      ) : (
        <p>Please log in to continue.</p>
      )}
    </div>
  );
};

export default ConditionalRenderingComponent;"
"{""formData"": {""name"": """", ""email"": """", ""message"": """"}}","jsx import React, { useState } from 'react'; import data from './formData.json'; const FormComponent = () => { const [formData, setFormData] = useState(data.formData); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle form submission logic }; return ( <form onSubmit={handleSubmit}> <label>Name:</label> <input type=""text"" name=""name"" value={formData.name} onChange={handleChange} /> <label>Email:</label> <input type=""email"" name=""email"" value={formData.email} onChange={handleChange} /> <label>Message:</label> <textarea name=""message"" value={formData.message} onChange={handleChange}></textarea> <button type=""submit"">Submit</button> </form> ); }; export default FormComponent;"
"{""menuItems"": [{""id"": 1, ""label"": ""Home"", ""url"": ""/""}, {""id"": 2, ""label"": ""About Us"", ""url"": ""/about""}, {""id"": 3, ""label"": ""Services"", ""url"": ""/services""}, {""id"": 4, ""label"": ""Contact"", ""url"": ""/contact""}]}",jsx import React from 'react'; import menuData from './menuItems.json'; const NavbarComponent = () => { return ( <nav> <ul> {menuData.menuItems.map(item => ( <li key={item.id}> <a href={item.url}>{item.label}</a> </li> ))} </ul> </nav> ); }; export default NavbarComponent;
"{""cards"": [{""id"": 1, ""title"": ""Card 1"", ""content"": ""Content for Card 1""}, {""id"": 2, ""title"": ""Card 2"", ""content"": ""Content for Card 2""}, {""id"": 3, ""title"": ""Card 3"", ""content"": ""Content for Card 3""}]}",jsx import React from 'react'; import cardsData from './cardsData.json'; const CardListComponent = () => { return ( <div> {cardsData.cards.map(card => ( <div key={card.id}> <h3>{card.title}</h3> <p>{card.content}</p> </div> ))} </div> ); }; export default CardListComponent;
"{""modalContent"": ""This is the content of the modal.""}","jsx import React, { useState } from 'react'; import modalData from './modalData.json'; const ModalComponent = () => { const [isModalOpen, setIsModalOpen] = useState(false); const openModal = () => { setIsModalOpen(true); }; const closeModal = () => { setIsModalOpen(false); }; return ( <div> <button onClick={openModal}>Open Modal</button> {isModalOpen && ( <div className=""modal""> <div className=""modal-content""> {modalData.modalContent} </div> <button onClick={closeModal}>Close Modal</button> </div> )} </div> ); }; export default ModalComponent;"
"{""selectedDate"": ""2023-11-15""}","jsx import React, { useState } from 'react'; import dateData from './dateData.json'; const DatePickerComponent = () => { const [selectedDate, setSelectedDate] = useState(dateData.selectedDate); const handleDateChange = (newDate) => { setSelectedDate(newDate); // Handle date change logic }; return ( <div> <label>Select Date:</label> <input type=""date"" value={selectedDate} onChange={(e) => handleDateChange(e.target.value)} /> <p>Selected Date: {selectedDate}</p> </div> ); }; export default DatePickerComponent;"
"{""formData"": {""name"": """", ""email"": """", ""message"": """"}}","jsx import React, { useState } from 'react'; const FormComponent = () => { const [formData, setFormData] = useState({ name: """", email: """", message: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle form submission logic }; return ( <form onSubmit={handleSubmit}> <label>Name:</label> <input type=""text"" name=""name"" value={formData.name} onChange={handleChange} /> <label>Email:</label> <input type=""email"" name=""email"" value={formData.email} onChange={handleChange} /> <label>Message:</label> <textarea name=""message"" value={formData.message} onChange={handleChange}></textarea> <button type=""submit"">Submit</button> </form> ); }; export default FormComponent;"
"{""formData"": {""username"": """", ""password"": """"}}","jsx import React, { useState } from 'react'; const LoginForm = () => { const [formData, setFormData] = useState({ username: """", password: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle login logic }; return ( <form onSubmit={handleSubmit}> <label>Username:</label> <input type=""text"" name=""username"" value={formData.username} onChange={handleChange} /> <label>Password:</label> <input type=""password"" name=""password"" value={formData.password} onChange={handleChange} /> <button type=""submit"">Login</button> </form> ); }; export default LoginForm;"
"{""formData"": {""firstName"": """", ""lastName"": """", ""email"": """"}}","jsx import React, { useState } from 'react'; const UserRegistrationForm = () => { const [formData, setFormData] = useState({ firstName: """", lastName: """", email: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle registration logic }; return ( <form onSubmit={handleSubmit}> <label>First Name:</label> <input type=""text"" name=""firstName"" value={formData.firstName} onChange={handleChange} /> <label>Last Name:</label> <input type=""text"" name=""lastName"" value={formData.lastName} onChange={handleChange} /> <label>Email:</label> <input type=""email"" name=""email"" value={formData.email} onChange={handleChange} /> <button type=""submit"">Register</button> </form> ); }; export default UserRegistrationForm;"
"{""formData"": {""street"": """", ""city"": """", ""zipcode"": """"}}","jsx import React, { useState } from 'react'; const AddressForm = () => { const [formData, setFormData] = useState({ street: """", city: """", zipcode: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle address submission logic }; return ( <form onSubmit={handleSubmit}> <label>Street:</label> <input type=""text"" name=""street"" value={formData.street} onChange={handleChange} /> <label>City:</label> <input type=""text"" name=""city"" value={formData.city} onChange={handleChange} /> <label>Zip Code:</label> <input type=""text"" name=""zipcode"" value={formData.zipcode} onChange={handleChange} /> <button type=""submit"">Submit</button> </form> ); }; export default AddressForm;"
"{""formData"": {""quantity"": 0, ""product"": """", ""price"": 0}}","jsx import React, { useState } from 'react'; const ProductOrderForm = () => { const [formData, setFormData] = useState({ quantity: 0, product: """", price: 0 }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle order submission logic }; return ( <form onSubmit={handleSubmit}> <label>Product:</label> <input type=""text"" name=""product"" value={formData.product} onChange={handleChange} /> <label>Quantity:</label> <input type=""number"" name=""quantity"" value={formData.quantity} onChange={handleChange} /> <label>Price:</label> <input type=""number"" name=""price"" value={formData.price} onChange={handleChange} /> <button type=""submit"">Order</button> </form> ); }; export default ProductOrderForm;"
"{""formData"": {""search"": """"}}","jsx import React, { useState } from 'react'; const SearchForm = () => { const [formData, setFormData] = useState({ search: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle search logic }; return ( <form onSubmit={handleSubmit}> <label>Search:</label> <input type=""text"" name=""search"" value={formData.search} onChange={handleChange} /> <button type=""submit"">Search</button> </form> ); }; export default SearchForm;"
"{""formData"": {""color"": """", ""size"": """", ""quantity"": 0}}","jsx import React, { useState } from 'react'; const ProductSelectionForm = () => { const [formData, setFormData] = useState({ color: """", size: """", quantity: 0 }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle product selection logic }; return ( <form onSubmit={handleSubmit}> <label>Color:</label> <input type=""text"" name=""color"" value={formData.color} onChange={handleChange} /> <label>Size:</label> <input type=""text"" name=""size"" value={formData.size} onChange={handleChange} /> <label>Quantity:</label> <input type=""number"" name=""quantity"" value={formData.quantity} onChange={handleChange} /> <button type=""submit"">Select</button> </form> ); }; export default ProductSelectionForm;"
"{""formData"": {""category"": """", ""description"": """", ""price"": 0}}","jsx import React, { useState } from 'react'; const ProductCreationForm = () => { const [formData, setFormData] = useState({ category: """", description: """", price: 0 }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle product creation logic }; return ( <form onSubmit={handleSubmit}> <label>Category:</label> <input type=""text"" name=""category"" value={formData.category} onChange={handleChange} /> <label>Description:</label> <textarea name=""description"" value={formData.description} onChange={handleChange}></textarea> <label>Price:</label> <input type=""number"" name=""price"" value={formData.price} onChange={handleChange} /> <button type=""submit"">Create</button> </form> ); }; export default ProductCreationForm;"
"{""formData"": {""startDate"": """", ""endDate"": """", ""reason"": """"}}","jsx import React, { useState } from 'react'; const LeaveRequestForm = () => { const [formData, setFormData] = useState({ startDate: """", endDate: """", reason: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle leave request logic }; return ( <form onSubmit={handleSubmit}> <label>Start Date:</label> <input type=""date"" name=""startDate"" value={formData.startDate} onChange={handleChange} /> <label>End Date:</label> <input type=""date"" name=""endDate"" value={formData.endDate} onChange={handleChange} /> <label>Reason:</label> <textarea name=""reason"" value={formData.reason} onChange={handleChange}></textarea> <button type=""submit"">Submit</button> </form> ); }; export default LeaveRequestForm;"
"{""formData"": {""eventName"": """", ""date"": """", ""location"": """"}}","jsx import React, { useState } from 'react'; const EventCreationForm = () => { const [formData, setFormData] = useState({ eventName: """", date: """", location: """" }); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle event creation logic }; return ( <form onSubmit={handleSubmit}> <label>Event Name:</label> <input type=""text"" name=""eventName"" value={formData.eventName} onChange={handleChange} /> <label>Date:</label> <input type=""date"" name=""date"" value={formData.date} onChange={handleChange} /> <label>Location:</label> <input type=""text"" name=""location"" value={formData.location} onChange={handleChange} /> <button type=""submit"">Create</button> </form> ); }; export default EventCreationForm;"
"{""menuItems"": [{""id"": 1, ""label"": ""Home"", ""url"": ""/""}, {""id"": 2, ""label"": ""About Us"", ""url"": ""/about""}, {""id"": 3, ""label"": ""Services"", ""url"": ""/services""}]}","jsx import React from 'react'; const NavbarComponent = () => { return ( <nav> <ul> <li> <a href=""/"">Home</a> </li> <li> <a href=""/about"">About Us</a> </li> <li> <a href=""/services"">Services</a> </li> </ul> </nav> ); }; export default NavbarComponent;"
"{""menuItems"": [{""id"": 1, ""label"": ""Dashboard"", ""url"": ""/dashboard""}, {""id"": 2, ""label"": ""Profile"", ""url"": ""/profile""}, {""id"": 3, ""label"": ""Settings"", ""url"": ""/settings""}]}","jsx import React from 'react'; const SidebarComponent = () => { return ( <aside> <ul> <li> <a href=""/dashboard"">Dashboard</a> </li> <li> <a href=""/profile"">Profile</a> </li> <li> <a href=""/settings"">Settings</a> </li> </ul> </aside> ); }; export default SidebarComponent;"
"{""menuItems"": [{""id"": 1, ""label"": ""Products"", ""url"": ""/products""}, {""id"": 2, ""label"": ""Categories"", ""url"": ""/categories""}, {""id"": 3, ""label"": ""Cart"", ""url"": ""/cart""}]}","jsx import React from 'react'; const ProductMenuComponent = () => { return ( <nav> <ul> <li> <a href=""/products"">Products</a> </li> <li> <a href=""/categories"">Categories</a> </li> <li> <a href=""/cart"">Cart</a> </li> </ul> </nav> ); }; export default ProductMenuComponent;"
"{""menuItems"": [{""id"": 1, ""label"": ""Blog"", ""url"": ""/blog""}, {""id"": 2, ""label"": ""Archive"", ""url"": ""/archive""}, {""id"": 3, ""label"": ""Contact"", ""url"": ""/contact""}]}","jsx import React from 'react'; const BlogMenuComponent = () => { return ( <nav> <ul> <li> <a href=""/blog"">Blog</a> </li> <li> <a href=""/archive"">Archive</a> </li> <li> <a href=""/contact"">Contact</a> </li> </ul> </nav> ); }; export default BlogMenuComponent;"
"Navigation Menu Items<br>json { ""menuItems"": [ { ""id"": 1, ""label"": ""Home"", ""link"": ""/"" }, { ""id"": 2, ""label"": ""About Us"", ""link"": ""/about"" }, { ""id"": 3, ""label"": ""Services"", ""link"": ""/services"" }, { ""id"": 4, ""label"": ""Contact"", ""link"": ""/contact"" } ] }",NavigationMenu.js<br>jsx import React from 'react'; import menuData from './menuItems.json'; const NavigationMenu = () => { return ( <ul> {menuData.menuItems.map(item => ( <li key={item.id}><a href={item.link}>{item.label}</a></li> ))} </ul> ); }; export default NavigationMenu;
"Card Data<br>json { ""cards"": [ { ""id"": 1, ""title"": ""Card 1"", ""content"": ""Lorem ipsum dolor sit amet."" }, { ""id"": 2, ""title"": ""Card 2"", ""content"": ""Consectetur adipiscing elit."" }, { ""id"": 3, ""title"": ""Card 3"", ""content"": ""Pellentesque nec justo vel lectus finibus."" } ] }",CardList.js<br>jsx import React from 'react'; import cardData from './cards.json'; const CardList = () => { return ( <div> {cardData.cards.map(card => ( <div key={card.id}> <h3>{card.title}</h3> <p>{card.content}</p> </div> ))} </div> ); }; export default CardList;
"Modal Content<br>json { ""modalContent"": { ""title"": ""Modal Title"", ""body"": ""This is the content of the modal. It can include text, images, or any other HTML elements."" } }","Modal.js<br>jsx import React from 'react'; import modalContent from './modalContent.json'; const Modal = () => { return ( <div className=""modal""> <h2>{modalContent.title}</h2> <p>{modalContent.body}</p> </div> ); }; export default Modal;"
"Date Picker Settings<br>json { ""datePickerSettings"": { ""format"": ""YYYY-MM-DD"", ""startDate"": ""2023-01-01"", ""endDate"": ""2023-12-31"" } }",DatePicker.js<br>jsx import React from 'react'; import datePickerSettings from './datePickerSettings.json'; const DatePicker = () => { return ( <div> <p>Format: {datePickerSettings.format}</p> <p>Start Date: {datePickerSettings.startDate}</p> <p>End Date: {datePickerSettings.endDate}</p> </div> ); }; export default DatePicker;
"Dropdown Menu Items<br>json { ""dropdownItems"": [ { ""id"": 1, ""label"": ""Option 1"" }, { ""id"": 2, ""label"": ""Option 2"" }, { ""id"": 3, ""label"": ""Option 3"" } ] }",DropdownMenu.js<br>jsx import React from 'react'; import dropdownData from './dropdownItems.json'; const DropdownMenu = () => { return ( <select> {dropdownData.dropdownItems.map(item => ( <option key={item.id}>{item.label}</option> ))} </select> ); }; export default DropdownMenu;
"Product Cards<br>json { ""products"": [ { ""id"": 1, ""name"": ""Product A"", ""price"": 29.99 }, { ""id"": 2, ""name"": ""Product B"", ""price"": 19.99 }, { ""id"": 3, ""name"": ""Product C"", ""price"": 39.99 } ] }",ProductCardList.js<br>jsx import React from 'react'; import productData from './products.json'; const ProductCardList = () => { return ( <div> {productData.products.map(product => ( <div key={product.id}> <h3>{product.name}</h3> <p>${product.price}</p> </div> ))} </div> ); }; export default ProductCardList;
"Confirmation Modal Content<br>json { ""confirmationModal"": { ""title"": ""Confirmation"", ""message"": ""Are you sure you want to proceed?"" } }","ConfirmationModal.js<br>jsx import React from 'react'; import confirmationModalContent from './confirmationModal.json'; const ConfirmationModal = () => { return ( <div className=""modal""> <h2>{confirmationModalContent.title}</h2> <p>{confirmationModalContent.message}</p> </div> ); }; export default ConfirmationModal;"
"Event Calendar Settings<br>json { ""calendarSettings"": { ""defaultView"": ""month"", ""firstDayOfWeek"": ""Sunday"", ""showWeekNumbers"": true } }",EventCalendar.js<br>jsx import React from 'react'; import calendarSettings from './calendarSettings.json'; const EventCalendar = () => { return ( <div> <p>Default View: {calendarSettings.defaultView}</p> <p>First Day of Week: {calendarSettings.firstDayOfWeek}</p> <p>Show Week Numbers: {calendarSettings.showWeekNumbers ? 'Yes' : 'No'}</p> </div> ); }; export default EventCalendar;
"Social Media Links<br>json { ""socialMediaLinks"": [ { ""id"": 1, ""name"": ""Twitter"", ""url"": ""https://twitter.com/example"" }, { ""id"": 2, ""name"": ""Facebook"", ""url"": ""https://facebook.com/example"" }, { ""id"": 3, ""name"": ""Instagram"", ""url"": ""https://instagram.com/example"" } ] }","SocialMediaLinks.js<br>jsx import React from 'react'; import socialMediaData from './socialMediaLinks.json'; const SocialMediaLinks = () => { return ( <ul> {socialMediaData.socialMediaLinks.map(link => ( <li key={link.id}><a href={link.url} target=""_blank"" rel=""noopener noreferrer"">{link.name}</a></li> ))} </ul> ); }; export default SocialMediaLinks;"
"Employee Cards<br>json { ""employees"": [ { ""id"": 1, ""name"": ""John Doe"", ""position"": ""Software Engineer"" }, { ""id"": 2, ""name"": ""Jane Smith"", ""position"": ""UX Designer"" }, { ""id"": 3, ""name"": ""Bob Johnson"", ""position"": ""Product Manager"" } ] }",EmployeeCardList.js<br>jsx import React from 'react'; import employeeData from './employees.json'; const EmployeeCardList = () => { return ( <div> {employeeData.employees.map(employee => ( <div key={employee.id}> <h3>{employee.name}</h3> <p>{employee.position}</p> </div> ))} </div> ); }; export default EmployeeCardList;
"Notification Modal Content<br>json { ""notificationModal"": { ""title"": ""New Notification"", ""content"": ""You have a new message. Click here to view."" } }","NotificationModal.js<br>jsx import React from 'react'; import notificationModalContent from './notificationModal.json'; const NotificationModal = () => { return ( <div className=""modal""> <h2>{notificationModalContent.title}</h2> <p>{notificationModalContent.content}</p> </div> ); }; export default NotificationModal;"
"Color Palette<br>json { ""colors"": { ""primary"": ""#3498db"", ""secondary"": ""#2ecc71"", ""accent"": ""#e74c3c"" } }","ColorPalette.js<br>jsx import React from 'react'; import colorData from './colors.json'; const ColorPalette = () => { return ( <div> <div style={{ backgroundColor: colorData.colors.primary, height: '50px', width: '50px' }}></div> <div style={{ backgroundColor: colorData.colors.secondary, height: '50px', width: '50px' }}></div> <div style={{ backgroundColor: colorData.colors.accent, height: '50px', width: '50px' }}></div> </div> ); }; export default ColorPalette;"
"Feedback Form<br>json { ""feedbackForm"": { ""questions"": [ { ""id"": 1, ""question"": ""How satisfied are you with our service?"", ""options"": [""Very Satisfied"", ""Satisfied"", ""Neutral"", ""Dissatisfied"", ""Very Dissatisfied""] }, { ""id"": 2, ""question"": ""What can we improve?"", ""options"": [] } ] } }","FeedbackForm.js<br>jsx import React, { useState } from 'react'; import feedbackFormData from './feedbackForm.json'; const FeedbackForm = () => { const [feedback, setFeedback] = useState({}); const handleOptionChange = (questionId, selectedOption) => { setFeedback({ ...feedback, [questionId]: selectedOption }); }; return ( <form> {feedbackFormData.questions.map(question => ( <div key={question.id}> <p>{question.question}</p> {question.options.map(option => ( <label key={option}> <input type=""radio"" name={`question${question.id}`} value={option} onChange={() => handleOptionChange(question.id, option)} checked={feedback[question.id] === option} /> {option} </label> ))} </div> ))} <button type=""submit"">Submit</button> </form> ); }; export default FeedbackForm;"
"Side Navigation Menu<br>json { ""sideNavigation"": [ { ""id"": 1, ""label"": ""Dashboard"", ""icon"": ""dashboard"", ""link"": ""/dashboard"" }, { ""id"": 2, ""label"": ""Profile"", ""icon"": ""person"", ""link"": ""/profile"" }, { ""id"": 3, ""label"": ""Settings"", ""icon"": ""settings"", ""link"": ""/settings"" } ] }",SideNavigation.js<br>jsx import React from 'react'; import sideNavigationData from './sideNavigation.json'; const SideNavigation = () => { return ( <ul> {sideNavigationData.sideNavigation.map(item => ( <li key={item.id}> <i className={`icon-${item.icon}`}></i> <a href={item.link}>{item.label}</a> </li> ))} </ul> ); }; export default SideNavigation;
"Article Cards<br>json { ""articles"": [ { ""id"": 1, ""title"": ""Introduction to React Hooks"", ""author"": ""John Doe"", ""date"": ""2023-02-15"" }, { ""id"": 2, ""title"": ""Building Responsive Web Design"", ""author"": ""Jane Smith"", ""date"": ""2023-03-10"" }, { ""id"": 3, ""title"": ""JavaScript ES6 Features"", ""author"": ""Bob Johnson"", ""date"": ""2023-04-05"" } ] }ArticleCardList.js<br>jsx import React from 'react'; import articleData from './articles.json'; const ArticleCardList = () => { return ( <div> {articleData.articles.map(article => ( <div key={article.id}> <h3>{article.title}</h3> <p>By {article.author} on {article.date}</p> </div> ))} </div> ); }; export default ArticleCardList;",
"Image Gallery Modal<br>json { ""imageGalleryModal"": { ""images"": [ ""image1.jpg"", ""image2.jpg"", ""image3.jpg"" ] } }","ImageGalleryModal.js<br>jsx import React from 'react'; import imageGalleryModalData from './imageGalleryModal.json'; const ImageGalleryModal = () => { return ( <div className=""modal""> {imageGalleryModalData.imageGalleryModal.images.map(image => ( <img key={image} src={image} alt={`Image ${image}`} /> ))} </div> ); }; export default ImageGalleryModal;"
"Range Date Picker Settings<br>json { ""rangeDatePickerSettings"": { ""startDate"": ""2023-05-01"", ""endDate"": ""2023-05-31"" } }RangeDatePicker.js<br>jsx import React from 'react'; import rangeDatePickerSettings from './rangeDatePickerSettings.json'; const RangeDatePicker = () => { return ( <div> <p>Start Date: {rangeDatePickerSettings.startDate}</p> <p>End Date: {rangeDatePickerSettings.endDate}</p> </div> ); }; export default RangeDatePicker;",
"Form 1<br>json { ""form1"": { ""fields"": [ { ""id"": 1, ""label"": ""Name"", ""type"": ""text"" }, { ""id"": 2, ""label"": ""Email"", ""type"": ""email"" }, { ""id"": 3, ""label"": ""Message"", ""type"": ""textarea"" } ] } }",Form1.js<br>jsx import React from 'react'; const Form1 = () => { /* Your form logic here */ return <form>Form 1 Content</form>; }; export default Form1;
"Form 2<br>json { ""form2"": { ""fields"": [ { ""id"": 1, ""label"": ""Username"", ""type"": ""text"" }, { ""id"": 2, ""label"": ""Password"", ""type"": ""password"" }, { ""id"": 3, ""label"": ""Confirm Password"", ""type"": ""password"" } ] } }",Form2.js<br>jsx import React from 'react'; const Form2 = () => { /* Your form logic here */ return <form>Form 2 Content</form>; }; export default Form2;
"Form 3<br>json { ""form3"": { ""fields"": [ { ""id"": 1, ""label"": ""First Name"", ""type"": ""text"" }, { ""id"": 2, ""label"": ""Last Name"", ""type"": ""text"" }, { ""id"": 3, ""label"": ""Age"", ""type"": ""number"" } ] } }",Form3.js<br>jsx import React from 'react'; const Form3 = () => { /* Your form logic here */ return <form>Form 3 Content</form>; }; export default Form3;
